Rx:0-10:05:00.120-01 0E 3A 00 02 02 BB 01 11
Tx:1-10:05:00.123-01 55 00 00 00 00 00 00 00
Rx:2-10:05:01.640-02 0E 4C 00 16 02 B8 01 10
Tx:3-10:05:01.643-02 55 00 00 00 00 00 00 00
Rx:4-10:05:02.910-01 0E 3F 00 14 02 BD 01 0F
Tx:5-10:05:02.913-01 55 00 00 00 00 00 00 00
Rx:6-10:05:03.120-02 0E 4E 00 0D 02 C2 01 13
Tx:7-10:05:03.123-02 55 00 00 00 00 00 00 00
Rx:8-10:05:04.640-01 0E 51 00 1C 02 C3 01 10
Tx:9-10:05:04.643-01 55 00 00 00 00 00 00 00
Rx:10-10:05:05.910-02 0E 55 00 1A 02 C0 01 0F
Tx:11-10:05:05.913-02 55 00 00 00 00 00 00 00
Rx:12-10:05:06.120-01 0E 4D 00 1D 02 BE 01 16
Tx:13-10:05:06.123-01 55 00 00 00 00 00 00 00
Rx:14-10:05:07.640-02 0E 52 00 2C 02 BC 01 12
Tx:15-10:05:07.643-02 55 00 00 00 00 00 00 00
Rx:16-10:05:08.910-01 0E 59 00 1D 02 C2 01 14
Tx:17-10:05:08.913-01 55 00 00 00 00 00 00 00
Rx:18-10:05:09.120-02 0E 55 00 31 02 BE 01 16
Tx:19-10:05:09.123-02 55 00 00 00 00 00 00 00
Rx:20-10:05:10.640-01 0E 57 00 13 02 C6 01 17
Tx:21-10:05:10.643-01 55 00 00 00 00 00 00 00
Rx:22-10:05:11.910-02 0E 6B 00 2D 02 C5 01 13
Tx:23-10:05:11.913-02 55 00 00 00 00 00 00 00
Rx:24-10:05:12.120-01 0E 68 00 36 02 C8 01 14
Tx:25-10:05:12.123-01 55 00 00 00 00 00 00 00
Rx:26-10:05:13.640-02 0E 70 00 44 02 C5 01 13
Tx:27-10:05:13.643-02 55 00 00 00 00 00 00 00
Rx:28-10:05:14.910-01 0E 73 00 35 02 CA 01 1B
Tx:29-10:05:14.913-01 55 00 00 00 00 00 00 00
Rx:30-10:05:15.120-02 0E 72 00 42 02 C9 01 18
Tx:31-10:05:15.123-02 55 00 00 00 00 00 00 00
Rx:32-10:05:16.640-01 0E 67 00 46 02 C7 01 18
Tx:33-10:05:16.643-01 55 00 00 00 00 00 00 00
Rx:34-10:05:17.910-02 0E 70 00 35 02 C4 01 1D
Tx:35-10:05:17.913-02 55 00 00 00 00 00 00 00
Rx:36-10:05:18.120-01 0E 6C 00 50 02 C4 01 1A
Tx:37-10:05:18.123-01 55 00 00 00 00 00 00 00
Rx:38-10:05:19.640-02 0E 74 00 57 02 C8 01 18
Tx:39-10:05:19.643-02 55 00 00 00 00 00 00 00
Rx:40-10:05:20.910-01 0E 73 00 4E 02 CD 01 1E
Tx:41-10:05:20.913-01 55 00 00 00 00 00 00 00
Rx:42-10:05:21.120-02 0E 85 00 53 02 CD 01 20
Tx:43-10:05:21.123-02 55 00 00 00 00 00 00 00
Rx:44-10:05:22.640-01 0E 85 00 55 02 CA 01 20
Tx:45-10:05:22.643-01 55 00 00 00 00 00 00 00
Rx:46-10:05:23.910-02 0E 7B 00 50 02 CE 01 1C
Tx:47-10:05:23.913-02 55 00 00 00 00 00 00 00
Rx:48-10:05:24.120-01 0E 80 00 67 02 CF 01 1C
Tx:49-10:05:24.123-01 55 00 00 00 00 00 00 00
Rx:50-10:05:25.640-02 0E 8F 00 6F 02 CB 01 1F
Tx:51-10:05:25.643-02 55 00 00 00 00 00 00 00
Rx:52-10:05:26.910-01 0E 81 00 59 02 CD 01 20
Tx:53-10:05:26.913-01 55 00 00 00 00 00 00 00
Rx:54-10:05:27.120-02 0E 87 00 54 02 C8 01 1F
Tx:55-10:05:27.123-02 55 00 00 00 00 00 00 00
Rx:56-10:05:28.640-01 0E 99 00 6D 02 CF 01 20
Tx:57-10:05:28.643-01 55 00 00 00 00 00 00 00
Rx:58-10:05:29.910-02 0E 8B 00 59 02 CF 01 1E
Tx:59-10:05:29.913-02 55 00 00 00 00 00 00 00
Rx:60-10:05:30.120-01 0E 97 00 5B 02 D0 01 25
Tx:61-10:05:30.123-01 55 00 00 00 00 00 00 00
Rx:62-10:05:31.640-02 0E 91 00 7C 02 D2 01 24
Tx:63-10:05:31.643-02 55 00 00 00 00 00 00 00
Rx:64-10:05:32.910-01 0E 9C 00 7A 02 D4 01 24
Tx:65-10:05:32.913-01 55 00 00 00 00 00 00 00
Rx:66-10:05:33.120-02 0E 98 00 78 02 CD 01 22
Tx:67-10:05:33.123-02 55 00 00 00 00 00 00 00
Rx:68-10:05:34.640-01 0E A4 00 88 02 CE 01 25
Tx:69-10:05:34.643-01 55 00 00 00 00 00 00 00
Rx:70-10:05:35.910-02 0E A9 00 80 02 D0 01 26
Tx:71-10:05:35.913-02 55 00 00 00 00 00 00 00
Rx:72-10:05:36.120-01 0E A6 00 84 02 D6 01 28
Tx:73-10:05:36.123-01 55 00 00 00 00 00 00 00
Rx:74-10:05:37.640-02 0E A6 00 7C 02 D5 01 29
Tx:75-10:05:37.643-02 55 00 00 00 00 00 00 00
Rx:76-10:05:38.910-01 0E AC 00 80 02 D4 01 25
Tx:77-10:05:38.913-01 55 00 00 00 00 00 00 00
Rx:78-10:05:39.120-02 0E AE 00 7E 02 D5 01 2B
Tx:79-10:05:39.123-02 55 00 00 00 00 00 00 00
Rx:80-10:05:40.640-01 0E AA 00 A3 02 D6 01 26
Tx:81-10:05:40.643-01 55 00 00 00 00 00 00 00
Rx:82-10:05:41.910-02 0E B2 00 8E 02 D9 01 29
Tx:83-10:05:41.913-02 55 00 00 00 00 00 00 00
Rx:84-10:05:42.120-01 0E B4 00 98 02 D3 01 2D
Tx:85-10:05:42.123-01 55 00 00 00 00 00 00 00
Rx:86-10:05:43.640-02 0E BB 00 94 02 D4 01 2A
Tx:87-10:05:43.643-02 55 00 00 00 00 00 00 00
Rx:88-10:05:44.910-01 0E C4 00 A9 02 D3 01 29
Tx:89-10:05:44.913-01 55 00 00 00 00 00 00 00
Rx:90-10:05:45.120-02 0E BE 00 97 02 D6 01 2B
Tx:91-10:05:45.123-02 55 00 00 00 00 00 00 00
Rx:92-10:05:46.640-01 0E BB 00 8F 02 D8 01 2B
Tx:93-10:05:46.643-01 55 00 00 00 00 00 00 00
Rx:94-10:05:47.910-02 0E C9 00 AC 02 DA 01 2E
Tx:95-10:05:47.913-02 55 00 00 00 00 00 00 00
Rx:96-10:05:48.120-01 0E CC 00 A1 02 D9 01 30
Tx:97-10:05:48.123-01 55 00 00 00 00 00 00 00
Rx:98-10:05:49.640-02 0E C3 00 B7 02 DC 01 31
Tx:99-10:05:49.643-02 55 00 00 00 00 00 00 00
Rx:100-10:05:50.910-01 0E D2 00 AF 02 DC 01 30
Tx:101-10:05:50.913-01 55 00 00 00 00 00 00 00
Rx:102-10:05:51.120-02 0E D1 00 C1 02 D8 01 2F
Tx:103-10:05:51.123-02 55 00 00 00 00 00 00 00
Rx:104-10:05:52.640-01 0E D4 00 BC 02 DE 01 36
Tx:105-10:05:52.643-01 55 00 00 00 00 00 00 00
Rx:106-10:05:53.910-02 0E CF 00 AE 02 DA 01 36
Tx:107-10:05:53.913-02 55 00 00 00 00 00 00 00
Rx:108-10:05:54.120-01 0E DD 00 C7 02 DA 01 37
Tx:109-10:05:54.123-01 55 00 00 00 00 00 00 00
Rx:110-10:05:55.640-02 0E D3 00 D1 02 E1 01 35
Tx:111-10:05:55.643-02 55 00 00 00 00 00 00 00
Rx:112-10:05:56.910-01 0E DC 00 CE 02 E2 01 33
Tx:113-10:05:56.913-01 55 00 00 00 00 00 00 00
Rx:114-10:05:57.120-02 0E E7 00 C6 02 DC 01 34
Tx:115-10:05:57.123-02 55 00 00 00 00 00 00 00
Rx:116-10:05:58.640-01 0E DB 00 D9 02 DE 01 36
Tx:117-10:05:58.643-01 55 00 00 00 00 00 00 00
Rx:118-10:05:59.910-02 0E E6 00 C2 02 E3 01 39
Tx:119-10:05:59.913-02 55 00 00 00 00 00 00 00
Rx:120-10:06:00.120-01 0E E7 00 DD 02 E6 01 3B
Tx:121-10:06:00.123-01 55 00 00 00 00 00 00 00
Rx:122-10:06:01.640-02 0E E5 00 E1 02 E3 01 3A
Tx:123-10:06:01.643-02 55 00 00 00 00 00 00 00
Rx:124-10:06:02.910-01 0E F5 00 D1 02 E8 01 37
Tx:125-10:06:02.913-01 55 00 00 00 00 00 00 00
Rx:126-10:06:03.120-02 0E ED 00 C5 02 E1 01 3C
Tx:127-10:06:03.123-02 55 00 00 00 00 00 00 00
Rx:128-10:06:04.640-01 0E F6 00 C4 02 E5 01 3E
Tx:129-10:06:04.643-01 55 00 00 00 00 00 00 00
Rx:130-10:06:05.910-02 0E F7 00 DF 02 E2 01 3A
Tx:131-10:06:05.913-02 55 00 00 00 00 00 00 00
Rx:132-10:06:06.120-01 0E FB 00 D3 02 E6 01 39
Tx:133-10:06:06.123-01 55 00 00 00 00 00 00 00
Rx:134-10:06:07.640-02 0F 03 00 EA 02 E7 01 3D
Tx:135-10:06:07.643-02 55 00 00 00 00 00 00 00
Rx:136-10:06:08.910-01 0F 01 00 E9 02 E8 01 3E
Tx:137-10:06:08.913-01 55 00 00 00 00 00 00 00
Rx:138-10:06:09.120-02 0F 04 00 E1 02 E5 01 3C
Tx:139-10:06:09.123-02 55 00 00 00 00 00 00 00
Rx:140-10:06:10.640-01 0F 02 00 E5 02 EB 01 3F
Tx:141-10:06:10.643-01 55 00 00 00 00 00 00 00
Rx:142-10:06:11.910-02 0F 0B 00 D5 02 EA 01 3F
Tx:143-10:06:11.913-02 55 00 00 00 00 00 00 00
Rx:144-10:06:12.120-01 0F 0B 00 F0 02 EA 01 43
Tx:145-10:06:12.123-01 55 00 00 00 00 00 00 00
Rx:146-10:06:13.640-02 0F 08 00 DB 02 E5 01 40
Tx:147-10:06:13.643-02 55 00 00 00 00 00 00 00
Rx:148-10:06:14.910-01 0F 0D 00 E7 02 E8 01 41
Tx:149-10:06:14.913-01 55 00 00 00 00 00 00 00
Rx:150-10:06:15.120-02 0F 17 00 E8 02 E8 01 47
Tx:151-10:06:15.123-02 55 00 00 00 00 00 00 00
Rx:152-10:06:16.640-01 0F 17 00 DE 02 E8 01 48
Tx:153-10:06:16.643-01 55 00 00 00 00 00 00 00
Rx:154-10:06:17.910-02 0F 18 00 F0 02 F1 01 49
Tx:155-10:06:17.913-02 55 00 00 00 00 00 00 00
Rx:156-10:06:18.120-01 0F 0D 00 E7 02 EE 01 43
Tx:157-10:06:18.123-01 55 00 00 00 00 00 00 00
Rx:158-10:06:19.640-02 0F 16 00 F2 02 EA 01 48
Tx:159-10:06:19.643-02 55 00 00 00 00 00 00 00
Rx:160-10:06:20.910-01 0F 1B 00 FA 02 EE 01 44
Tx:161-10:06:20.913-01 55 00 00 00 00 00 00 00
Rx:162-10:06:21.120-02 0F 27 01 0C 02 ED 01 48
Tx:163-10:06:21.123-02 55 00 00 00 00 00 00 00
Rx:164-10:06:22.640-01 0F 28 01 0D 02 F2 01 49
Tx:165-10:06:22.643-01 55 00 00 00 00 00 00 00
Rx:166-10:06:23.910-02 0F 26 01 0F 02 F2 01 49
Tx:167-10:06:23.913-02 55 00 00 00 00 00 00 00
Rx:168-10:06:24.120-01 0F 27 00 F0 02 EC 01 49
Tx:169-10:06:24.123-01 55 00 00 00 00 00 00 00
Rx:170-10:06:25.640-02 0F 28 00 FB 02 F0 01 4D
Tx:171-10:06:25.643-02 55 00 00 00 00 00 00 00
Rx:172-10:06:26.910-01 0F 21 00 F2 02 F4 01 4C
Tx:173-10:06:26.913-01 55 00 00 00 00 00 00 00
Rx:174-10:06:27.120-02 0F 2A 01 19 02 F1 01 4D
Tx:175-10:06:27.123-02 55 00 00 00 00 00 00 00
Rx:176-10:06:28.640-01 0F 2A 01 1A 02 F4 01 50
Tx:177-10:06:28.643-01 55 00 00 00 00 00 00 00
Rx:178-10:06:29.910-02 0F 34 01 0F 02 F3 01 51
Tx:179-10:06:29.913-02 55 00 00 00 00 00 00 00
Rx:180-10:06:30.120-01 0F 3C 01 00 02 F7 01 4C
Tx:181-10:06:30.123-01 55 00 00 00 00 00 00 00
Rx:182-10:06:31.640-02 0F 31 01 0E 02 F7 01 4E
Tx:183-10:06:31.643-02 55 00 00 00 00 00 00 00
Rx:184-10:06:32.910-01 0F 38 00 FA 02 F8 01 55
Tx:185-10:06:32.913-01 55 00 00 00 00 00 00 00
Rx:186-10:06:33.120-02 0F 42 01 0F 02 FA 01 4F
Tx:187-10:06:33.123-02 55 00 00 00 00 00 00 00
Rx:188-10:06:34.640-01 0F 37 01 02 02 F2 01 4F
Tx:189-10:06:34.643-01 55 00 00 00 00 00 00 00
Rx:190-10:06:35.910-02 0F 45 01 12 02 F9 01 57
Tx:191-10:06:35.913-02 55 00 00 00 00 00 00 00
Rx:192-10:06:36.120-01 0F 45 01 0D 02 F6 01 52
Tx:193-10:06:36.123-01 55 00 00 00 00 00 00 00
Rx:194-10:06:37.640-02 0F 43 01 13 02 FD 01 56
Tx:195-10:06:37.643-02 55 00 00 00 00 00 00 00
Rx:196-10:06:38.910-01 0F 49 01 10 02 F4 01 56
Tx:197-10:06:38.913-01 55 00 00 00 00 00 00 00
Rx:198-10:06:39.120-02 0F 43 01 1F 02 FB 01 59
Tx:199-10:06:39.123-02 55 00 00 00 00 00 00 00
Rx:200-10:06:40.640-01 0F 50 01 27 02 FE 01 59
Tx:201-10:06:40.643-01 55 00 00 00 00 00 00 00
Rx:202-10:06:41.910-02 0F 4D 01 25 02 FB 01 55
Tx:203-10:06:41.913-02 55 00 00 00 00 00 00 00
Rx:204-10:06:42.120-01 0F 4A 01 28 02 F9 01 5A
Tx:205-10:06:42.123-01 55 00 00 00 00 00 00 00
Rx:206-10:06:43.640-02 0F 56 01 11 03 00 01 56
Tx:207-10:06:43.643-02 55 00 00 00 00 00 00 00
Rx:208-10:06:44.910-01 0F 4C 01 21 02 FE 01 5A
Tx:209-10:06:44.913-01 55 00 00 00 00 00 00 00
Rx:210-10:06:45.120-02 0F 5B 01 28 02 FC 01 57
Tx:211-10:06:45.123-02 55 00 00 00 00 00 00 00
Rx:212-10:06:46.640-01 0F 5B 01 24 02 FF 01 5C
Tx:213-10:06:46.643-01 55 00 00 00 00 00 00 00
Rx:214-10:06:47.910-02 0F 5C 01 1A 03 01 01 5F
Tx:215-10:06:47.913-02 55 00 00 00 00 00 00 00
Rx:216-10:06:48.120-01 0F 62 01 20 02 FE 01 59
Tx:217-10:06:48.123-01 55 00 00 00 00 00 00 00
Rx:218-10:06:49.640-02 0F 68 01 30 03 04 01 5D
Tx:219-10:06:49.643-02 55 00 00 00 00 00 00 00
Rx:220-10:06:50.910-01 0F 60 01 35 02 FC 01 5E
Tx:221-10:06:50.913-01 55 00 00 00 00 00 00 00
Rx:222-10:06:51.120-02 0F 5C 01 28 02 FF 01 5E
Tx:223-10:06:51.123-02 55 00 00 00 00 00 00 00
Rx:224-10:06:52.640-01 0F 69 01 25 03 01 01 5E
Tx:225-10:06:52.643-01 55 00 00 00 00 00 00 00
Rx:226-10:06:53.910-02 0F 68 01 2C 02 FE 01 61
Tx:227-10:06:53.913-02 55 00 00 00 00 00 00 00
Rx:228-10:06:54.120-01 0F 72 01 20 03 06 01 61
Tx:229-10:06:54.123-01 55 00 00 00 00 00 00 00
Rx:230-10:06:55.640-02 0F 65 01 32 03 04 01 64
Tx:231-10:06:55.643-02 55 00 00 00 00 00 00 00
Rx:232-10:06:56.910-01 0F 6B 01 17 03 07 01 63
Tx:233-10:06:56.913-01 55 00 00 00 00 00 00 00
Rx:234-10:06:57.120-02 0F 69 01 22 03 01 01 65
Tx:235-10:06:57.123-02 55 00 00 00 00 00 00 00
Rx:236-10:06:58.640-01 0F 77 01 37 03 02 01 66
Tx:237-10:06:58.643-01 55 00 00 00 00 00 00 00
Rx:238-10:06:59.910-02 0F 6F 01 3C 03 01 01 63
Tx:239-10:06:59.913-02 55 00 00 00 00 00 00 00
Rx:240-10:07:00.120-01 0F 6F 01 27 03 07 01 62
Tx:241-10:07:00.123-01 55 00 00 00 00 00 00 00
Rx:242-10:07:01.640-02 0F 70 01 2F 03 08 01 62
Tx:243-10:07:01.643-02 55 00 00 00 00 00 00 00
Rx:244-10:07:02.910-01 0F 81 01 36 03 09 01 66
Tx:245-10:07:02.913-01 55 00 00 00 00 00 00 00
Rx:246-10:07:03.120-02 0F 80 01 39 03 0C 01 68
Tx:247-10:07:03.123-02 55 00 00 00 00 00 00 00
Rx:248-10:07:04.640-01 0F 7C 01 35 03 08 01 66
Tx:249-10:07:04.643-01 55 00 00 00 00 00 00 00
Rx:250-10:07:05.910-02 0F 7F 01 3F 03 09 01 66
Tx:251-10:07:05.913-02 55 00 00 00 00 00 00 00
Rx:252-10:07:06.120-01 0F 89 01 26 03 0C 01 66
Tx:253-10:07:06.123-01 55 00 00 00 00 00 00 00
Rx:254-10:07:07.640-02 0F 7B 01 2D 03 0E 01 67
Tx:255-10:07:07.643-02 55 00 00 00 00 00 00 00
Rx:256-10:07:08.910-01 0F 89 01 1C 03 0E 01 6E
Tx:257-10:07:08.913-01 55 00 00 00 00 00 00 00
Rx:258-10:07:09.120-02 0F 86 01 23 03 0C 01 69
Tx:259-10:07:09.123-02 55 00 00 00 00 00 00 00
Rx:260-10:07:10.640-01 0F 84 01 1F 03 0A 01 6C
Tx:261-10:07:10.643-01 55 00 00 00 00 00 00 00
Rx:262-10:07:11.910-02 0F 88 01 20 03 12 01 6A
Tx:263-10:07:11.913-02 55 00 00 00 00 00 00 00
Rx:264-10:07:12.120-01 0F 97 01 42 03 0B 01 6C
Tx:265-10:07:12.123-01 55 00 00 00 00 00 00 00
Rx:266-10:07:13.640-02 0F 87 01 2C 03 0B 01 72
Tx:267-10:07:13.643-02 55 00 00 00 00 00 00 00
Rx:268-10:07:14.910-01 0F 94 01 28 03 11 01 71
Tx:269-10:07:14.913-01 55 00 00 00 00 00 00 00
Rx:270-10:07:15.120-02 0F 93 01 3F 03 13 01 72
Tx:271-10:07:15.123-02 55 00 00 00 00 00 00 00
Rx:272-10:07:16.640-01 0F 93 01 2B 03 0B 01 73
Tx:273-10:07:16.643-01 55 00 00 00 00 00 00 00
Rx:274-10:07:17.910-02 0F 92 01 24 03 11 01 76
Tx:275-10:07:17.913-02 55 00 00 00 00 00 00 00
Rx:276-10:07:18.120-01 0F A1 01 23 03 0F 01 75
