id,direction,time,data
87651,Rx,2025-10-30 15:32:42.090,01 0F 50 01 27 02 FE 01 59
87652,Tx,2025-10-30 15:32:42.446,01 55 00 00 00 00 00 00 00
87653,Rx,2025-10-30 15:32:45.776,02 0F 4D 01 25 02 FB 01 55
87654,Tx,2025-10-30 15:32:46.256,02 55 00 00 00 00 00 00 00
87655,Rx,2025-10-30 15:32:48.607,01 0F 4A 01 28 02 F9 01 5A
87656,Tx,2025-10-30 15:32:49.074,01 55 00 00 00 00 00 00 00
87657,Rx,2025-10-30 15:32:51.766,02 0F 56 01 11 03 00 01 56
87658,Tx,2025-10-30 15:32:52.180,02 55 00 00 00 00 00 00 00
87659,Rx,2025-10-30 15:32:54.868,01 0F 4C 01 21 02 FE 01 5A
87660,Tx,2025-10-30 15:32:55.121,01 55 00 00 00 00 00 00 00
87661,Rx,2025-10-30 15:32:56.937,02 0F 5B 01 28 02 FC 01 57
87662,Tx,2025-10-30 15:32:57.244,02 55 00 00 00 00 00 00 00
87663,Rx,2025-10-30 15:33:00.116,01 0F 5B 01 24 02 FF 01 5C
87664,Tx,2025-10-30 15:33:00.574,01 55 00 00 00 00 00 00 00
87665,Rx,2025-10-30 15:33:03.186,02 0F 5C 01 1A 03 01 01 5F
87666,Tx,2025-10-30 15:33:03.536,02 55 00 00 00 00 00 00 00
87667,Rx,2025-10-30 15:33:06.089,01 0F 62 01 20 02 FE 01 59
87668,Tx,2025-10-30 15:33:06.384,01 55 00 00 00 00 00 00 00
87669,Rx,2025-10-30 15:33:09.038,02 0F 68 01 30 03 04 01 5D
87670,Tx,2025-10-30 15:33:09.289,02 55 00 00 00 00 00 00 00
87671,Rx,2025-10-30 15:33:12.788,01 0F 60 01 35 02 FC 01 5E
87672,Tx,2025-10-30 15:33:13.107,01 55 00 00 00 00 00 00 00
87673,Rx,2025-10-30 15:33:15.305,02 0F 5C 01 28 02 FF 01 5E
87674,Tx,2025-10-30 15:33:15.567,02 55 00 00 00 00 00 00 00
87675,Rx,2025-10-30 15:33:17.916,01 0F 69 01 25 03 01 01 5E
87676,Tx,2025-10-30 15:33:18.382,01 55 00 00 00 00 00 00 00
87677,Rx,2025-10-30 15:33:21.490,02 0F 68 01 2C 02 FE 01 61
87678,Tx,2025-10-30 15:33:21.791,02 55 00 00 00 00 00 00 00
87679,Rx,2025-10-30 15:33:24.470,01 0F 72 01 20 03 06 01 61
87680,Tx,2025-10-30 15:33:24.751,01 55 00 00 00 00 00 00 00
87681,Rx,2025-10-30 15:33:27.245,02 0F 65 01 32 03 04 01 64
87682,Tx,2025-10-30 15:33:27.549,02 55 00 00 00 00 00 00 00
87683,Rx,2025-10-30 15:33:29.910,01 0F 6B 01 17 03 07 01 63
87684,Tx,2025-10-30 15:33:30.272,01 55 00 00 00 00 00 00 00
87685,Rx,2025-10-30 15:33:33.214,02 0F 69 01 22 03 01 01 65
87686,Tx,2025-10-30 15:33:33.595,02 55 00 00 00 00 00 00 00
87687,Rx,2025-10-30 15:33:36.596,01 0F 77 01 37 03 02 01 66
87688,Tx,2025-10-30 15:33:36.873,01 55 00 00 00 00 00 00 00
87689,Rx,2025-10-30 15:33:39.426,02 0F 6F 01 3C 03 01 01 63
