id,direction,time,data
14342,Rx,2025-10-30 15:32:42.374,01 03 03 00 02 00 01 24 28
14343,Tx,2025-10-30 15:32:42.630,01 03 03 02 00 04 C0 47
14344,Rx,2025-10-30 15:32:45.413,02 04 03 00 D0 00 01 85 A6
14345,Tx,2025-10-30 15:32:45.673,02 04 03 02 00 00 74 44
14346,Rx,2025-10-30 15:32:48.406,01 03 03 01 97 00 0A 74 3F
14347,Tx,2025-10-30 15:32:48.632,01 03 03 14 11 23 00 55 11 11 00 4E 0E 42 00 6B 02 45 09 07 00 01 17 69 02 47
14348,Rx,2025-10-30 15:32:51.660,02 04 03 01 FE 00 1E A5 9B
14349,Tx,2025-10-30 15:32:52.054,02 04 03 3C 1D E8 0F D4 0E 13 0F 21 0E C7 01 AE 01 B8 00 ED 02 45 09 11 00 03 17 69 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C1 5D
14350,Rx,2025-10-30 15:32:54.176,01 03 03 00 02 00 01 24 28
14351,Tx,2025-10-30 15:32:54.523,01 03 03 02 00 04 C0 47
14352,Rx,2025-10-30 15:32:57.083,02 04 03 00 D0 00 01 85 A6
14353,Tx,2025-10-30 15:32:57.546,02 04 03 02 00 00 74 44
14354,Rx,2025-10-30 15:33:00.213,01 03 03 01 97 00 0A 74 3F
14355,Tx,2025-10-30 15:33:00.500,01 03 03 14 11 09 00 5B 11 21 00 4D 0E 42 00 76 02 47 09 0A 00 00 17 69 89 7C
14356,Rx,2025-10-30 15:33:03.599,02 04 03 01 FE 00 1E A5 9B
14357,Tx,2025-10-30 15:33:04.035,02 04 03 3C 1C 4B 0F 08 0D 43 10 CD 0B 7E 01 B1 01 BF 00 F4 02 4C 09 09 00 01 17 6A 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 29 E4
14358,Rx,2025-10-30 15:33:06.781,01 03 03 00 02 00 01 24 28
14359,Tx,2025-10-30 15:33:07.259,01 03 03 02 00 04 C0 47
14360,Rx,2025-10-30 15:33:09.316,02 04 03 00 D0 00 01 85 A6
14361,Tx,2025-10-30 15:33:09.538,02 04 03 02 00 00 74 44
14362,Rx,2025-10-30 15:33:12.051,01 03 03 01 97 00 0A 74 3F
14363,Tx,2025-10-30 15:33:12.356,01 03 03 14 11 30 00 56 11 10 00 4E 0E 55 00 6E 02 4B 09 0C 00 04 17 69 98 D4
14364,Rx,2025-10-30 15:33:15.259,02 04 03 01 FE 00 1E A5 9B
14365,Tx,2025-10-30 15:33:15.684,02 04 03 3C 1C 1D 0E C1 0D 5C 11 AA 0A 72 01 AE 01 A2 00 FB 02 42 09 0F 00 04 17 6B 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 47 45
14366,Rx,2025-10-30 15:33:18.070,01 03 03 00 02 00 01 24 28
14367,Tx,2025-10-30 15:33:18.333,01 03 03 02 00 04 C0 47
14368,Rx,2025-10-30 15:33:21.037,02 04 03 00 D0 00 01 85 A6
14369,Tx,2025-10-30 15:33:21.243,02 04 03 02 00 00 74 44
14370,Rx,2025-10-30 15:33:24.159,01 03 03 01 97 00 0A 74 3F
14371,Tx,2025-10-30 15:33:24.544,01 03 03 14 11 24 00 57 11 0F 00 4F 0E 46 00 7B 02 45 09 0E 00 04 17 6A DE 2B
14372,Rx,2025-10-30 15:33:27.439,02 04 03 01 FE 00 1E A5 9B
14373,Tx,2025-10-30 15:33:27.906,02 04 03 3C 1C 59 0F 0A 0D 4F 0F 41 0D 18 01 A7 01 A8 01 02 02 4C 09 0C 00 01 17 6B 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F9 31
