id,direction,time,data
54223,Rx,2025-10-30 15:30:12.521,02 02 04 00 00 00 03 B0 38
54224,Tx,2025-10-30 15:30:12.155,02 02 04 06 02 43 02 1A 00 95 D0 5E
54225,Rx,2025-10-30 15:30:15.003,01 02 04 00 00 00 03 B0 38
54226,Tx,2025-10-30 15:30:15.265,01 02 04 06 02 2D 02 0D 00 97 08 52
54227,Rx,2025-10-30 15:30:17.914,02 02 04 00 00 00 03 B0 38
54228,Tx,2025-10-30 15:30:18.368,02 02 04 06 02 42 02 1A 00 9A AD 9A
54229,Rx,2025-10-30 15:30:21.024,01 02 04 00 00 00 03 B0 38
54230,Tx,2025-10-30 15:30:21.320,01 02 04 06 02 45 02 1F 00 9B C9 9B
54231,Rx,2025-10-30 15:30:24.552,02 02 04 00 00 00 03 B0 38
54232,Tx,2025-10-30 15:30:24.285,02 02 04 06 02 42 02 1A 00 9E AC 59
54233,Rx,2025-10-30 15:30:27.511,01 02 04 00 00 00 03 B0 38
54234,Tx,2025-10-30 15:30:27.361,01 02 04 06 02 41 02 20 00 A0 49 84
54235,Rx,2025-10-30 15:30:30.585,02 02 04 00 00 00 03 B0 38
54236,Tx,2025-10-30 15:30:30.317,02 02 04 06 02 32 02 0A 00 A4 6C 44
54237,Rx,2025-10-30 15:30:33.296,01 02 04 00 00 00 03 B0 38
54238,Tx,2025-10-30 15:30:33.153,01 02 04 06 02 2F 02 08 00 97 61 93
54239,Rx,2025-10-30 15:30:36.824,02 02 04 00 00 00 03 B0 38
54240,Tx,2025-10-30 15:30:36.127,02 02 04 06 02 49 02 2C 00 A5 A8 45
54241,Rx,2025-10-30 15:30:39.063,01 02 04 00 00 00 03 B0 38
54242,Tx,2025-10-30 15:30:39.354,01 02 04 06 02 39 02 1A 00 9F 89 93
54243,Rx,2025-10-30 15:30:42.061,02 02 04 00 00 00 03 B0 38
54244,Tx,2025-10-30 15:30:42.229,02 02 04 06 02 42 02 23 00 9B BC 57
54245,Rx,2025-10-30 15:30:45.517,01 02 04 00 00 00 03 B0 38
54246,Tx,2025-10-30 15:30:45.242,01 02 04 06 02 3D 02 1E 00 A7 38 40
54247,Rx,2025-10-30 15:30:48.820,02 02 04 00 00 00 03 B0 38
54248,Tx,2025-10-30 15:30:48.168,02 02 04 06 02 4B 02 24 00 9F D0 54
54249,Rx,2025-10-30 15:30:51.016,01 02 04 00 00 00 03 B0 38
54250,Tx,2025-10-30 15:30:51.340,01 02 04 06 02 2D 02 16 00 A3 79 82
