id,active_electric_energy,date,floor,total_apparent_power,MAC,Device
8596529,3679.319,2025-11-14 00:00:01.587651964,1,1.784,03:08:DC:AB:CD:EF,PWR_03
8596530,3679.319,2025-11-14 00:00:04.707290407,1,1.77,03:08:DC:AB:CD:EF,PWR_03
8596531,3679.32,2025-11-14 00:00:07.647416369,1,1.788,03:08:DC:AB:CD:EF,PWR_03
8596532,3679.322,2025-11-14 00:00:10.113689460,1,1.787,03:08:DC:AB:CD:EF,PWR_03
8596533,3679.322,2025-11-14 00:00:13.350747172,1,1.795,03:08:DC:AB:CD:EF,PWR_03
8596534,3679.324,2025-11-14 00:00:16.111856539,1,1.785,03:08:DC:AB:CD:EF,PWR_03
8596535,3679.325,2025-11-14 00:00:18.758872425,1,1.847,03:08:DC:AB:CD:EF,PWR_03
8596536,3679.325,2025-11-14 00:00:21.665545522,1,1.906,03:08:DC:AB:CD:EF,PWR_03
8596537,3679.327,2025-11-14 00:00:24.597059751,1,1.877,03:08:DC:AB:CD:EF,PWR_03
8596538,3679.329,2025-11-14 00:00:27.504423883,1,1.884,03:08:DC:AB:CD:EF,PWR_03
8596539,3679.329,2025-11-14 00:00:30.283385501,1,1.823,03:08:DC:AB:CD:EF,PWR_03
8596540,3679.331,2025-11-14 00:00:33.234531524,1,1.77,03:08:DC:AB:CD:EF,PWR_03
8596541,3679.332,2025-11-14 00:00:36.204667144,1,1.797,03:08:DC:AB:CD:EF,PWR_03
8596542,3679.332,2025-11-14 00:00:39.152620518,1,1.781,03:08:DC:AB:CD:EF,PWR_03
8596543,3679.333,2025-11-14 00:00:41.674668822,1,1.819,03:08:DC:AB:CD:EF,PWR_03
8596544,3679.335,2025-11-14 00:00:44.502427757,1,1.799,03:08:DC:AB:CD:EF,PWR_03
8596545,3679.335,2025-11-14 00:00:47.707260647,1,1.79,03:08:DC:AB:CD:EF,PWR_03
8596546,3679.337,2025-11-14 00:00:50.389464411,1,1.775,03:08:DC:AB:CD:EF,PWR_03
8596547,3679.337,2025-11-14 00:00:53.175536336,1,1.791,03:08:DC:AB:CD:EF,PWR_03
8596548,3679.339,2025-11-14 00:00:56.166782956,1,1.787,03:08:DC:AB:CD:EF,PWR_03
8596549,3679.339,2025-11-14 00:00:58.774307338,1,1.803,03:08:DC:AB:CD:EF,PWR_03
8596550,3679.341,2025-11-14 00:01:01.601085779,1,1.782,03:08:DC:AB:CD:EF,PWR_03
8596551,3679.344,2025-11-14 00:01:04.490521172,1,1.775,03:08:DC:AB:CD:EF,PWR_03
8596552,3679.344,2025-11-14 00:01:07.295389673,1,1.8,03:08:DC:AB:CD:EF,PWR_03
8596553,3679.345,2025-11-14 00:01:10.326894379,1,1.824,03:08:DC:AB:CD:EF,PWR_03
8596554,3679.345,2025-11-14 00:01:13.100007117,1,1.806,03:08:DC:AB:CD:EF,PWR_03
8596555,3679.347,2025-11-14 00:01:15.877317419,1,1.801,03:08:DC:AB:CD:EF,PWR_03
8596556,3679.349,2025-11-14 00:01:18.954418674,1,1.792,03:08:DC:AB:CD:EF,PWR_03
8596557,3679.349,2025-11-14 00:01:21.971555362,1,1.843,03:08:DC:AB:CD:EF,PWR_03
8596558,3679.351,2025-11-14 00:01:24.482085694,1,1.812,03:08:DC:AB:CD:EF,PWR_03
8596559,3679.353,2025-11-14 00:01:27.495607786,1,1.781,03:08:DC:AB:CD:EF,PWR_03
8596560,3679.353,2025-11-14 00:01:30.461515904,1,1.825,03:08:DC:AB:CD:EF,PWR_03
8596561,3679.353,2025-11-14 00:01:33.355923959,1,1.842,03:08:DC:AB:CD:EF,PWR_03
8596562,3679.355,2025-11-14 00:01:36.199105013,1,1.791,03:08:DC:AB:CD:EF,PWR_03
8596563,3679.355,2025-11-14 00:01:38.956956174,1,1.805,03:08:DC:AB:CD:EF,PWR_03
8596564,3679.355,2025-11-14 00:01:41.845034084,1,1.854,03:08:DC:AB:CD:EF,PWR_03
8596565,3679.359,2025-11-14 00:01:44.635340908,1,1.836,03:08:DC:AB:CD:EF,PWR_03
8596566,3679.359,2025-11-14 00:01:47.389689451,1,1.818,03:08:DC:AB:CD:EF,PWR_03
8596567,3679.359,2025-11-14 00:01:50.401934860,1,1.8,03:08:DC:AB:CD:EF,PWR_03
8596568,3679.361,2025-11-14 00:01:53.059236086,1,1.84,03:08:DC:AB:CD:EF,PWR_03
8596569,3679.363,2025-11-14 00:01:56.097105159,1,2.037,03:08:DC:AB:CD:EF,PWR_03
8596570,3679.363,2025-11-14 00:01:58.845110212,1,2.037,03:08:DC:AB:CD:EF,PWR_03
8596571,3679.364,2025-11-14 00:02:01.931034644,1,2.049,03:08:DC:AB:CD:EF,PWR_03
8596572,3679.365,2025-11-14 00:02:04.758208086,1,2.075,03:08:DC:AB:CD:EF,PWR_03
8596573,3679.365,2025-11-14 00:02:07.644753794,1,2.117,03:08:DC:AB:CD:EF,PWR_03
8596574,3679.367,2025-11-14 00:02:10.226488770,1,2.113,03:08:DC:AB:CD:EF,PWR_03
8596575,3679.37,2025-11-14 00:02:13.164299663,1,2.082,03:08:DC:AB:CD:EF,PWR_03
8596576,3679.37,2025-11-14 00:02:16.198007121,1,2.06,03:08:DC:AB:CD:EF,PWR_03
8596577,3679.372,2025-11-14 00:02:19.031330980,1,2.04,03:08:DC:AB:CD:EF,PWR_03
8596578,3679.372,2025-11-14 00:02:22.014866130,1,1.828,03:08:DC:AB:CD:EF,PWR_03
8596579,3679.374,2025-11-14 00:02:24.891935574,1,1.794,03:08:DC:AB:CD:EF,PWR_03
8596580,3679.375,2025-11-14 00:02:27.597416505,1,1.801,03:08:DC:AB:CD:EF,PWR_03
8596581,3679.375,2025-11-14 00:02:30.587129403,1,1.845,03:08:DC:AB:CD:EF,PWR_03
8596582,3679.376,2025-11-14 00:02:33.431119182,1,1.873,03:08:DC:AB:CD:EF,PWR_03
8596583,3679.378,2025-11-14 00:02:36.456509230,1,1.842,03:08:DC:AB:CD:EF,PWR_03
8596584,3679.378,2025-11-14 00:02:39.368151973,1,1.836,03:08:DC:AB:CD:EF,PWR_03
8596585,3679.38,2025-11-14 00:02:42.396837938,1,1.799,03:08:DC:AB:CD:EF,PWR_03
8596586,3679.382,2025-11-14 00:02:45.068972160,1,1.805,03:08:DC:AB:CD:EF,PWR_03
8596587,3679.382,2025-11-14 00:02:47.962707093,1,1.791,03:08:DC:AB:CD:EF,PWR_03
8596588,3679.383,2025-11-14 00:02:51.130635178,1,1.779,03:08:DC:AB:CD:EF,PWR_03
8596589,3679.385,2025-11-14 00:02:53.767153154,1,1.784,03:08:DC:AB:CD:EF,PWR_03
8596590,3679.385,2025-11-14 00:02:56.526585463,1,1.857,03:08:DC:AB:CD:EF,PWR_03
8596591,3679.387,2025-11-14 00:02:59.385640151,1,1.791,03:08:DC:AB:CD:EF,PWR_03
8596592,3679.387,2025-11-14 00:03:02.455756164,1,1.825,03:08:DC:AB:CD:EF,PWR_03
8596593,3679.388,2025-11-14 00:03:05.309133668,1,1.769,03:08:DC:AB:CD:EF,PWR_03
8596594,3679.388,2025-11-14 00:03:07.891703002,1,1.784,03:08:DC:AB:CD:EF,PWR_03
8596595,3679.39,2025-11-14 00:03:11.041477390,1,1.781,03:08:DC:AB:CD:EF,PWR_03
8596596,3679.392,2025-11-14 00:03:13.681985091,1,1.789,03:08:DC:AB:CD:EF,PWR_03
8596597,3679.392,2025-11-14 00:03:16.642435286,1,1.848,03:08:DC:AB:CD:EF,PWR_03
8596598,3679.393,2025-11-14 00:03:19.702626286,1,1.783,03:08:DC:AB:CD:EF,PWR_03
8596599,3679.393,2025-11-14 00:03:22.393786275,1,1.758,03:08:DC:AB:CD:EF,PWR_03
